name,description,price,image,category,ingredients,isAvailable,source
"Овощное пиде","Пиде с грибами, зеленым луком и помидорами черри",800,"/images/ovoshchnoe-pide.jpg","Пиде","Тесто,Грибы,Зеленый лук,Помидоры черри,Сыр",true,"buy.am"
"Грибное пиде","Пиде с жареными грибами и зеленью",750,"/images/gribnoe-pide.jpg","Пиде","Тесто,Жареные грибы,Зелень,Сыр",true,"buy.am"
"Пиде с пхали","Пиде с грузинской овощной пастой пхали и кинзой",700,"/images/pide-s-phali.jpg","Пиде","Тесто,Пхали,Кинза,Сыр",true,"buy.am"
"Шпинат пиде","Пиде со шпинатом, сыром и помидорами черри",900,"/images/shpinat.jpg","Пиде","Тесто,Шпинат,Сыр,Помидоры черри",true,"buy.am"
"Пепперони пиде","Пиде с пепперони, сыром и зеленым перцем",950,"/images/pepperoni-pide.jpg","Пиде","Тесто,Пепперони,Сыр,Зеленый перец",true,"buy.am"
"Сладкий пиде","Десертное пиде с шоколадными конфетами и сладким соусом",750,"/images/sladkiy-pide.jpg","Пиде","Тесто,Шоколадные конфеты,Сладкий соус",true,"buy.am"
"Пиде Хот Дог","Пиде с сосисками, сыром и маринованными огурцами",700,"/images/pide-hot-dog.jpg","Пиде","Тесто,Сосиски,Сыр,Маринованные огурцы",true,"buy.am"
"Пиде Blue Pear","Пиде с грушами и легким соусом",700,"/images/pide-blue-pear.jpg","Пиде","Тесто,Груши,Легкий соус,Сыр",true,"buy.am"
"Куриный попкорн","Хрустящие кусочки курицы в панировке",600,"/images/kurinyy-popkorn.jpg","Снэк","Курица,Панировка,Специи",true,"buy.am"
"Картофель фри","Хрустящий картофель фри",500,"/images/kartofel-fri.jpg","Снэк","Картофель,Масло,Соль",true,"buy.am"
"Барбекю соус","Пикантный соус барбекю",300,"/images/BBQ-sauce-Pideh.jpg","Соусы","Томатная паста,Сахар,Уксус,Специи",true,"buy.am"
"Коктейль соус","Классический коктейльный соус",300,"/images/Cocktail-sauce-Pideh.jpg","Соусы","Майонез,Кетчуп,Коньяк,Специи",true,"buy.am"
"Сырный соус","Сливочный сырный соус",300,"/images/caucasus-cheese.jpg","Соусы","Сыр,Сливки,Масло,Специи",true,"buy.am"
"Чесночный соус","Ароматный чесночный соус с зеленью",300,"/images/Garlic-sauce-Pideh.jpg","Соусы","Чеснок,Майонез,Зелень,Лимонный сок",true,"buy.am"
"Кетчуп","Классический томатный кетчуп",300,"/images/Ketchup-Pideh.jpg","Соусы","Томатная паста,Сахар,Уксус,Специи",true,"buy.am"
"Майонез","Классический майонез",300,"/images/Mayonnaise-Pideh.jpg","Соусы","Яичный желток,Масло,Уксус,Горчица",true,"buy.am"
"Горчица","Острая горчица",300,"/images/Mustard-sauce-Pideh.jpg","Соусы","Горчичные зерна,Уксус,Соль,Специи",true,"buy.am"
"Кока-Кола","Газированный напиток Кока-Кола",500,"/images/cola-sprite-fanta.jpg","Напитки","Вода,Сахар,Кофеин",true,"buy.am"
"Фанта","Газированный напиток Фанта",500,"/images/cola-sprite-fanta.jpg","Напитки","Вода,Сахар,Апельсиновый сок",true,"buy.am"
"Спрайт","Газированный напиток Спрайт",500,"/images/cola-sprite-fanta.jpg","Напитки","Вода,Сахар,Лимонный сок",true,"buy.am"
"Тан","Традиционный армянский напиток Тан",400,"","Напитки","Мацони,Вода,Соль",true,"buy.am"
"Минеральная вода","Бутилированная минеральная вода",300,"/images/jur0000.jpg","Напитки","Минеральная вода",true,"buy.am"
"Сок (ассорти)","Сок в ассортименте",600,"/images/juice.jpg","Напитки","Фруктовый сок",true,"buy.am"
